T XT,LATITUD ,LO GITUD ,DIST
A1,17  30  58.812   ,78  17  58.598   ,0
A2,17  30  59.330   ,78  17  59.533   ,31.86
A3,17  30  59.978   ,78  18  0.096   ,25.94
A4,17  30  59.920   ,78  18  0.450   ,10.61
A5,17  30  56.502   ,78  18  4.639   ,162.3
A6,17  30  54.204   ,78  18  8.765   ,140.81
A7,17  30  51.632   ,78  18  7.831   ,83.79
A8,17  30  47.270   ,78  18  6.321   ,141.41
A9,17  30  48.148   ,78  18  1.043   ,158.09
A10,17  30  48.951   ,78  18  0.149   ,36.13
A11,17  30  50.920   ,78  17  58.233   ,82.87
A12,17  30  51.230   ,78  17  57.911   ,13.47
A13,17  30  52.537   ,78  17  57.422   ,42.73
